OID_,TEMP_C,WS,WD,YAER,MONTH,HOUR,DAY
,20.300012207000002,9.316122899260000,54.082512986700003,2025,12,0,1
,20.222985839800000,9.349316626069999,55.084477652099999,2025,12,1,1
,20.142999267600000,9.285847665020000,57.486628293800003,2025,12,2,1
,20.058007812500001,9.276179203230001,59.595344531199999,2025,12,3,1
,19.990014648399999,9.167592181100000,62.728074550599999,2025,12,4,1
,19.989007568400002,8.862246524000000,66.561479617200007,2025,12,5,1
,20.014001464800000,8.604374203400001,69.792583319100004,2025,12,6,1
,19.988000488299999,8.477362613450000,72.262313948100001,2025,12,7,1
,19.981988525399998,8.458768585980000,77.909940650099998,2025,12,8,1
,20.001000976600000,8.369111225519999,83.240676140700003,2025,12,9,1
,20.382012939500001,7.733050608670000,84.649744487199996,2025,12,10,1
,20.447991943400002,7.999420621870000,85.842480011999996,2025,12,11,1
,20.627008056600001,8.011241643829999,91.487881642100007,2025,12,12,1
,20.767999267600000,7.994358457740000,95.461290846899999,2025,12,13,1
,20.804010009799999,8.061478897610000,98.166035811399993,2025,12,14,1
,20.775994872999998,8.323254504810000,101.590212906000005,2025,12,15,1
,20.705010986300000,8.537824061040000,106.951317544000005,2025,12,16,1
,20.628991699200000,8.556392078320000,110.804623957000004,2025,12,17,1
,20.680993652300000,8.482073111569999,114.814411914999994,2025,12,18,1
,20.738000488299999,8.638040166320000,117.881039826000006,2025,12,19,1
,20.779992675799999,8.672640819930001,120.459234222000006,2025,12,20,1
,20.571008300799999,8.999561722999999,123.707142344000005,2025,12,21,1
,20.988000488299999,9.396708671130000,127.421004120999996,2025,12,22,1
,20.960992431600001,9.566865211400000,132.738130071999990,2025,12,23,1
,20.902001953100001,9.598753975430000,137.611499111000001,2025,12,0,2
,20.784997558600001,9.349063242940000,143.436283906000000,2025,12,1,2
,20.666986084000001,9.267510825300000,149.424467510999989,2025,12,2,2
,20.547998046899998,9.275686118359999,156.624221108999990,2025,12,3,2
,20.475000000000001,9.124219051020001,164.210210004999993,2025,12,4,2
,20.399987793000001,8.844528972710000,172.630547143999991,2025,12,5,2
,20.301995849600001,8.860075100480000,177.817879788999988,2025,12,6,2
,20.385003662100001,8.826650526760000,178.590547872999991,2025,12,7,2
,20.602014160200000,8.448955078530000,180.335865882999997,2025,12,8,2
,20.895989990200000,8.015103388240000,184.387976941999995,2025,12,9,2
,21.066003418000001,7.658440724130000,188.290372692000005,2025,12,10,2
,21.222985839800000,7.982000128400000,192.393919157999989,2025,12,11,2
,21.511987304700000,8.076659551100001,197.935826652999992,2025,12,12,2
,21.688989257799999,7.812484863270000,201.671895895999995,2025,12,13,2
,21.782006835899999,7.847850685120000,202.096281854000011,2025,12,14,2
,21.840997314500001,8.100002392430000,205.011795444999990,2025,12,15,2
,21.917993164100000,8.004787919660000,214.501201802999987,2025,12,16,2
,22.036004638700000,7.816652460910000,221.863818868000010,2025,12,17,2
,21.954003906299999,7.625440240880000,225.481791719999990,2025,12,18,2
,21.606988525399998,7.505894950960000,231.933519832999991,2025,12,19,2
,21.464990234399998,7.343318585650000,240.131175898000009,2025,12,20,2
,21.396997070299999,7.012705579930000,245.018185592999998,2025,12,21,2
,21.751000976600000,5.582440243170000,239.643819003000004,2025,12,22,2
,21.818994140600001,5.404332521000000,229.515239264000002,2025,12,23,2
,21.662011718799999,5.646142517110000,225.831604872000014,2025,12,0,3
,21.602014160200000,5.992114289200000,227.356963374999992,2025,12,1,3
,21.260003662100001,6.259987442440000,234.432552055999992,2025,12,2,3
,20.576989746100001,6.273558505020000,246.620304725000011,2025,12,3,3
,20.391992187500001,5.771632096780000,243.713220925000002,2025,12,4,3
,20.503991699200000,4.991132502350000,233.990409499000009,2025,12,5,3
,20.748010253899999,5.165247978760000,227.771446564000001,2025,12,6,3
,20.894006347700000,5.901597223840000,239.271641482000007,2025,12,7,3
,21.020989990200000,5.919334168490000,245.739299523000000,2025,12,8,3
,21.083001709000001,5.411290812050000,242.081839245999987,2025,12,9,3
,21.326013183600001,4.890213531640000,245.842269912999996,2025,12,10,3
,21.382012939500001,4.825800956700000,238.292206475999990,2025,12,11,3
,21.515008544899999,4.871278173510000,217.438997666999995,2025,12,12,3
,21.584008789100000,5.610680048450000,205.870316341999995,2025,12,13,3
,21.623986816399999,6.717063514720000,207.355897706999997,2025,12,14,3
,21.623986816399999,7.268944291780000,207.811151701000000,2025,12,15,3
,21.676995849600001,7.609473257190000,207.069581672999988,2025,12,16,3
,21.624993896500001,8.038562340189999,207.838780164000013,2025,12,17,3
,21.596002197299999,8.302902302540000,210.266729258999987,2025,12,18,3
,21.567010497999998,8.286294343690001,212.345241246000001,2025,12,19,3
,21.597009277300000,8.232203390860001,208.714859375999993,2025,12,20,3
,21.674005127000001,8.708115083679999,203.960324474999993,2025,12,21,3
,21.938012695299999,9.461598733090000,196.673891448000006,2025,12,22,3
,21.939996337899998,10.557288695700001,197.343476683999995,2025,12,23,3
,22.024011230500001,10.996051079500001,202.034209870000012,2025,12,0,4
,22.162988281299999,11.650833139400000,210.797103297999996,2025,12,1,4
,22.213006591799999,11.353945519400000,211.890907010999996,2025,12,2,4
,22.161004638700000,11.504876471199999,213.177344557999987,2025,12,3,4
,22.136010742200000,11.733157809700000,216.259510890000001,2025,12,4,4
,22.059014892600000,11.611368041600000,216.615880911999994,2025,12,5,4
,22.076013183600001,11.906352525799999,219.449243069000005,2025,12,6,4
,22.129998779299999,12.035643729000000,226.181716633000008,2025,12,7,4
,22.189996337899998,11.802725810100000,232.659438426000008,2025,12,8,4
,22.166009521500001,11.106754729000000,234.044665358000003,2025,12,9,4
,21.672998046899998,10.321969048800000,242.930862302000008,2025,12,10,4
,21.350000000000001,9.818736433170001,243.025100011000006,2025,12,11,4
,21.640985107399999,9.690063531150001,241.316353982999999,2025,12,12,4
,21.563989257799999,9.721799709280001,244.520909722999988,2025,12,13,4
,21.126000976600000,9.499965466890000,243.168786673999989,2025,12,14,4
,21.225000000000001,9.331807238840000,251.755715393999992,2025,12,15,4
,21.454003906299999,9.750414326010000,255.758043065000010,2025,12,16,4
,21.636010742200000,8.562129771450000,256.568737979999980,2025,12,17,4
,21.801995849600001,7.378330577810000,262.730286770000021,2025,12,18,4
,21.951013183600001,7.336502979650000,262.937621885999988,2025,12,19,4
,21.109002685499998,8.100567041960000,257.936883867999995,2025,12,20,4
,21.011987304700000,7.051643602040000,252.485091267999991,2025,12,21,4
,21.628015136700000,6.001471656880000,231.809603436000003,2025,12,22,4
,21.745996093799999,5.634127522900000,221.209592888000003,2025,12,23,4
