442700.00,3921300.00,472.75498,315.71,315.71,2.00
442700.00,3921350.00,580.68071,316.21,316.21,2.00
442700.00,3921400.00,479.34942,316.75,316.75,2.00
442700.00,3921450.00,273.5555,317.34,317.34,2.00
442700.00,3921500.00,182.71824,317.36,317.36,2.00
442700.00,3921550.00,165.19518,317.06,317.06,2.00
442700.00,3921600.00,146.09332,317.00,317.00,2.00
442700.00,3921650.00,136.82007,317.00,317.00,2.00
442700.00,3921700.00,131.11672,317.29,317.29,2.00
442700.00,3921750.00,106.50453,317.54,317.54,2.00
442700.00,3921800.00,95.06154,317.23,317.23,2.00
442700.00,3921850.00,94.48641,317.06,317.06,2.00
442700.00,3921900.00,90.36115,317.28,317.28,2.00
442700.00,3921950.00,86.74228,317.85,317.85,2.00
442700.00,3922000.00,82.86458,318.93,318.93,2.00
442700.00,3922050.00,82.10427,319.53,319.53,2.00
442700.00,3922100.00,81.37004,319.74,319.74,2.00
442700.00,3922150.00,79.3577,320.26,320.26,2.00
442700.00,3922200.00,76.50655,320.91,320.91,2.00
442700.00,3922250.00,73.9869,321.57,321.57,2.00
442700.00,3922300.00,72.78751,322.23,322.23,2.00
442750.00,3921300.00,411.98147,315.33,315.33,2.00
442750.00,3921350.00,497.61609,316.28,316.28,2.00
442750.00,3921400.00,481.50525,316.79,316.79,2.00
442750.00,3921450.00,342.77337,316.86,316.86,2.00
442750.00,3921500.00,228.20407,316.97,316.97,2.00
442750.00,3921550.00,174.72924,317.08,317.08,2.00
442750.00,3921600.00,165.74555,317.10,317.10,2.00
442750.00,3921650.00,135.54274,317.10,317.10,2.00
442750.00,3921700.00,140.22946,317.00,317.00,2.00
442750.00,3921750.00,135.80528,316.92,316.92,2.00
442750.00,3921800.00,107.08472,316.97,316.97,2.00
442750.00,3921850.00,95.34889,317.16,317.16,2.00
442750.00,3921900.00,87.93612,317.79,317.79,2.00
442750.00,3921950.00,84.73583,318.58,318.58,2.00
442750.00,3922000.00,84.117,319.61,319.61,2.00
442750.00,3922050.00,83.6934,320.35,320.35,2.00
442750.00,3922100.00,83.21823,320.85,320.85,2.00
442750.00,3922150.00,82.25669,321.02,321.02,2.00
442750.00,3922200.00,80.88912,321.05,321.05,2.00
442750.00,3922250.00,79.10321,321.03,321.03,2.00
442750.00,3922300.00,77.24709,321.01,321.01,2.00
442800.00,3921300.00,348.86154,315.08,315.08,2.00
442800.00,3921350.00,459.64042,315.31,315.31,2.00
442800.00,3921400.00,668.99596,315.65,315.65,2.00
442800.00,3921450.00,559.55453,316.08,316.08,2.00
442800.00,3921500.00,266.92662,316.78,316.78,2.00
442800.00,3921550.00,153.34418,317.61,317.61,2.00
442800.00,3921600.00,159.78284,317.77,317.77,2.00
